Name,Frame,PredictedValue
Hossein2,100,-1
Hossein2,101,0
Hossein2,102,0
Hossein2,103,0
Hossein2,105,0
Hossein2,108,0
Hossein2,110,-1
Hossein2,111,-1
Hossein2,120,1
Hossein2,121,1
Hossein2,122,-1
Hossein2,123,-1
Hossein2,124,-1
Hossein2,125,-1
Hossein2,126,0
Hossein2,127,0
Hossein2,128,-1
Hossein2,129,1
Hossein2,130,-1
Hossein2,131,0
Hossein2,152,0
Hossein2,153,-1
Hossein2,154,-1
Hossein2,155,-1
Hossein2,156,-1
Hossein2,157,-1
Hossein2,164,-1
Hossein2,165,0
Hossein2,166,-1
Hossein2,167,-1
Hossein2,168,-1
Hossein2,169,-1
Hossein2,170,0
Hossein2,171,-1
Hossein2,172,-1
Hossein2,173,-1
Hossein2,174,0
Hossein2,175,0
Hossein2,176,-1
Hossein2,177,-1
Hossein2,178,-1
Hossein2,179,1
Hossein2,180,0
Hossein2,181,0
Hossein2,182,0
Hossein2,183,0
Hossein2,184,-1
Hossein2,185,0
